login_id,q1_answer,q2_answer,q3_answer,q4_answer,q5_answer,q6_answer,q7_answer,q8_answer,q9_answer,q10_answer,q11_answer,q12_answer,q13_answer,q14_answer,q15_answer,q16_answer,q17_answer,q18_answer,q19_answer,q20_answer,q1_level,q2_level,q3_level,q4_level,q5_level,q6_level,q7_level,q8_level,q9_level,q10_level,q11_level,q12_level,q13_level,q14_level,q15_level,q16_level,q17_level,q18_level,q19_level,q20_level
8092641192,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641193,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641196,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641197,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641199,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641200,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641201,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641202,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641204,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641205,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641206,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641207,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641208,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641209,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641210,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641211,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641212,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641213,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641214,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641215,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641216,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641217,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641218,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641219,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641221,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641222,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641223,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641225,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641226,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641227,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641228,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641229,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641230,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641231,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641232,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641233,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641237,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641238,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641239,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641240,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641242,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
8092641243,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,Pre-primary,1,1,1,1,Pre-primary,1,Pre-primary,Pre-primary,1,,,,,
